id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k
14981,0,4861.0,4,2024,6302.0,10605.0,,1.0,303.8125,298.6729857819905,331.40625,5.139514218009481,-32.73326421800948
14051,0,7051.0,2,2024,10867.0,10609.0,,1.0,440.6875,515.0236966824644,331.53125,-74.33619668246445,183.49244668246445
104,0,4789.0,0,2024,7135.0,10610.0,,4.0,299.3125,338.1516587677725,331.5625,-38.83915876777252,6.589158767772517
15593,0,4566.0,5,2024,5935.0,10614.0,,2.0,285.375,281.27962085308053,331.6875,4.09537914691947,-50.40787914691947
13895,0,5707.0,2,2024,6548.0,10615.0,14479.0,1.0,356.6875,310.33175355450237,331.71875,46.35574644549763,-21.38699644549763
4084,0,4828.0,0,2025,6524.0,10617.0,,4.0,301.75,309.1943127962085,331.78125,-7.444312796208521,-22.58693720379148
3822,0,4954.0,0,2025,6655.0,10620.0,,5.0,309.625,315.4028436018957,331.875,-5.777843601895711,-16.47215639810429
15595,0,4639.0,5,2024,6081.0,10633.0,,3.0,289.9375,288.1990521327014,332.28125,1.7384478672985892,-44.08219786729859
14978,0,4852.0,4,2024,6899.0,10633.0,,7.0,303.25,326.9668246445497,332.28125,-23.716824644549718,-5.3144253554502825
8585,0,5548.0,1,2024,6361.0,10652.0,14614.0,3.0,346.75,301.46919431279616,332.875,45.28080568720384,-31.405805687203838
3819,0,5008.0,0,2025,6285.0,10656.0,,0.0,313.0,297.86729857819904,333.0,15.13270142180096,-35.13270142180096
4219,0,5180.0,0,2025,6896.0,10659.0,,1.0,323.75,326.82464454976304,333.09375,-3.074644549763036,-6.269105450236964
3777,0,4930.0,0,2025,6202.0,10662.0,,2.0,308.125,293.9336492890995,333.1875,14.191350710900508,-39.25385071090051
3857,0,4528.0,0,2025,6101.0,10669.0,,2.0,283.0,289.1469194312796,333.40625,-6.146919431279628,-44.25933056872037
80,0,4712.0,0,2024,6623.0,10669.0,16850.0,1.0,294.5,313.8862559241706,333.40625,-19.386255924170598,-19.519994075829402
3798,0,5032.0,0,2025,6756.0,10669.0,,3.0,314.5,320.18957345971563,333.40625,-5.689573459715632,-13.216676540284368
3830,0,5121.0,0,2025,6752.0,10671.0,,1.0,320.0625,320.0,333.46875,0.0625,-13.46875
3978,0,5331.0,0,2025,6732.0,10672.0,,3.0,333.1875,319.0521327014218,333.5,14.135367298578217,-14.447867298578217
4054,0,4897.0,0,2025,6054.0,10674.0,,1.0,306.0625,286.9194312796208,333.5625,19.143068720379176,-46.643068720379176
3921,0,5228.0,0,2025,6939.0,10676.0,,3.0,326.75,328.86255924170615,333.625,-2.112559241706151,-4.762440758293849
5492,0,6815.0,0,2025,6925.0,10682.0,,0.0,425.9375,328.1990521327014,333.8125,97.73844786729859,-5.613447867298589
3825,0,5059.0,0,2025,6720.0,10685.0,,2.0,316.1875,318.4834123222749,333.90625,-2.295912322274887,-15.422837677725113
