,id,chipTime_16k,year,chipTime_21k,chipTime_32k,chipTime_42k,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k,city_Baguio,city_Cagayan de Oro,city_Cebu,city_Davao,city_Iloilo-Bacolod,city_Manila,gender_Female,gender_Male,age_17 an,age_18-24,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65-69,age_70+ M,age_70-74,age_75-79,age_U
74,61,4566.0,2024,6578.0,9645.0,,285.375,311.75355450236964,301.40625,-26.37855450236964,10.347304502369639,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
75,27,4241.0,2024,5656.0,9654.0,,265.0625,268.0568720379147,301.6875,-2.9943720379146725,-33.63062796208533,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
76,38,4315.0,2024,6509.0,9670.0,15388.0,269.6875,308.4834123222749,302.1875,-38.79591232227489,6.295912322274887,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
77,3678,4323.0,2025,5901.0,9681.0,,270.1875,279.66824644549763,302.53125,-9.48074644549763,-22.86300355450237,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
78,13842,5133.0,2024,6268.0,9699.0,16165.0,320.8125,297.06161137440756,303.09375,23.750888625592438,-6.032138625592438,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
79,75,4666.0,2024,6223.0,9706.0,,291.625,294.9289099526066,303.3125,-3.3039099526066025,-8.383590047393398,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
80,14955,4265.0,2024,6156.0,9712.0,14610.0,266.5625,291.75355450236964,303.5,-25.19105450236964,-11.746445497630361,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
81,15584,4398.0,2024,6027.0,9740.0,13253.0,274.875,285.6398104265403,304.375,-10.764810426540294,-18.735189573459706,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
82,146,4975.0,2024,5874.0,9743.0,13213.0,310.9375,278.38862559241704,304.46875,32.54887440758296,-26.080124407582957,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
83,13812,4400.0,2024,5979.0,9752.0,15568.0,275.0,283.3649289099526,304.75,-8.364928909952596,-21.385071090047404,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
84,3707,4613.0,2025,6349.0,9752.0,,288.3125,300.90047393364927,304.75,-12.587973933649266,-3.849526066350734,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
85,37,4311.0,2024,7696.0,9782.0,13381.0,269.4375,364.73933649289097,305.6875,-95.30183649289097,59.05183649289097,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
86,3737,4769.0,2025,6221.0,9788.0,,298.0625,294.8341232227488,305.875,3.228376777251185,-11.040876777251185,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
87,126,4651.0,2024,6371.0,9789.0,,290.6875,301.94312796208527,305.90625,-11.25562796208527,-3.9631220379147294,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
88,8677,6316.0,2024,6275.0,9797.0,13996.0,394.75,297.39336492890993,306.15625,97.35663507109007,-8.762885071090068,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
89,989,6146.0,2024,10232.0,9836.0,,384.125,484.9289099526066,307.375,-100.8039099526066,177.5539099526066,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
90,15592,4502.0,2024,6052.0,9839.0,15044.0,281.375,286.82464454976304,307.46875,-5.449644549763036,-20.644105450236964,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
91,13833,5115.0,2024,6120.0,9845.0,14274.0,319.6875,290.0473933649289,307.65625,29.640106635071106,-17.608856635071106,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
92,3728,4581.0,2025,5844.0,9853.0,,286.3125,276.9668246445497,307.90625,9.345675355450282,-30.939425355450282,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,8494,4532.0,2024,6342.0,9865.0,14502.0,283.25,300.5687203791469,308.28125,-17.318720379146896,-7.712529620853104,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
94,4701,6229.0,2025,7888.0,9866.0,,389.3125,373.8388625592417,308.3125,15.473637440758296,65.5263625592417,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
95,14971,4677.0,2024,6298.0,9867.0,,292.3125,298.4834123222749,308.34375,-6.170912322274887,-9.860337677725113,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
96,1598,6960.0,2024,5366.0,9869.0,12665.0,435.0,254.31279620853078,308.40625,180.68720379146922,-54.093453791469216,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
97,8085,9756.0,2025,12793.0,9870.0,,609.75,606.303317535545,308.4375,3.446682464454966,297.86581753554503,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
98,19,4181.0,2024,5921.0,9881.0,13792.0,261.3125,280.6161137440758,308.78125,-19.30361374407579,-28.16513625592421,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,3187,8921.0,2024,13710.0,9920.0,,557.5625,649.7630331753554,310.0,-92.20053317535542,339.7630331753554,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
100,3871,5204.0,2025,6536.0,9939.0,,325.25,309.7630331753554,310.59375,15.486966824644583,-0.8307168246445826,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
101,13827,4918.0,2024,6026.0,9941.0,,307.375,285.59241706161134,310.65625,21.782582938388657,-25.063832938388657,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,14296,4462.0,2024,5920.0,9943.0,,278.875,280.5687203791469,310.71875,-1.693720379146896,-30.150029620853104,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
103,122,4878.0,2024,6483.0,9947.0,,304.875,307.2511848341232,310.84375,-2.376184834123194,-3.592565165876806,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
